id;phrase_en;phrase_sk;example_1;example_2;example_3
1;I didn’t realize how serious this was.;;;;
2;She’s trying to figure out what went wrong.;;;;
3;They need more time to make a final decision.;;;;
4;We weren’t prepared for this situation.;;;;
5;You might want to think about your options.;;;;
6;I’m not sure how to handle this problem.;;;;
7;He didn’t expect this to take so long.;;;;
8;She’s looking for a way to improve her results.;;;;
9;They’re working on something important.;;;;
10;We need to find out what happened.;;;;
11;I’m trying to focus on what matters most.;;;;
12;You don’t have to decide right now.;;;;
13;He wants to avoid making the same mistake.;;;;
14;She’s not ready to talk about this yet.;;;;
15;They weren’t aware of the consequences.;;;;
16;We should take a closer look at this issue.;;;;
17;I wasn’t planning to deal with this today.;;;;
18;You need to understand the bigger picture.;;;;
19;He’s trying to improve his performance.;;;;
20;She didn’t mean to cause any problems.;;;;
21;They’re waiting to see how this develops.;;;;
22;We need to make sure that everything is correct.;;;;
23;I’m not comfortable with this decision.;;;;
24;You might be right about this.;;;;
25;He needs to figure out what to do next.;;;;
26;She’s hoping things will get better.;;;;
27;They weren’t expecting this result.;;;;
28;We’re trying to find a better way to do this.;;;;
29;I don’t want to risk losing this opportunity.;;;;
30;You should consider all possibilities.;;;;
31;He wasn’t sure what to expect from this situation.;;;;
32;She’s working on improving her skills.;;;;
33;They need to deal with this problem.;;;;
34;We didn’t realize how difficult this would be.;;;;
35;I’m trying to understand your point of view.;;;;
36;You need to be careful with this.;;;;
37;He wants to make progress on this project.;;;;
38;She wasn’t ready for this conversation.;;;;
39;They’re trying to avoid any delays.;;;;
40;We should focus on what’s important.;;;;
41;I need to think about this carefully.;;;;
42;You might find this useful.;;;;
43;He didn’t know how to respond to that.;;;;
44;She needs more time to consider her options.;;;;
45;They’re planning to move forward with this plan.;;;;
46;We weren’t able to finish everything.;;;;
47;I wasn’t expecting that outcome.;;;;
48;You should ask for clarification.;;;;
49;He’s trying to solve this issue.;;;;
50;She didn’t understand why this happened.;;;;
51;They need to improve their communication.;;;;
52;We’re not sure what caused this.;;;;
53;I want to avoid any misunderstandings.;;;;
54;You might need to change your approach.;;;;
55;He’s waiting for your response.;;;;
56;She’s trying to stay focused on her goals.;;;;
57;They weren’t prepared to handle this.;;;;
58;We need to act quickly to fix this problem.;;;;
59;I didn’t mean to interrupt you.;;;;
60;You should take responsibility for this.;;;;
61;He wasn’t aware of the situation.;;;;
62;She needs to decide what’s best for her.;;;;
63;They’re trying to understand the situation.;;;;
64;We didn’t expect things to turn out this way.;;;;
65;I’m working on something new.;;;;
66;You need to focus on your priorities.;;;;
67;He’s trying to find a solution to this problem.;;;;
68;She didn’t expect this reaction.;;;;
69;They need to be more careful with this.;;;;
70;We should discuss this further.;;;;
71;I’m not sure if this is the right choice.;;;;
72;You might regret this decision.;;;;
73;He’s trying to avoid conflict.;;;;
74;She’s looking for a better opportunity.;;;;
75;They didn’t realize the importance of this.;;;;
76;We need to improve the process.;;;;
77;I wasn’t ready to hear that.;;;;
78;You should think about the consequences.;;;;
79;He needs to explain his reasoning.;;;;
80;She wasn’t sure how to handle the situation.;;;;
81;They’re trying to make things better.;;;;
82;We didn’t know what to expect from them.;;;;
83;I’m trying to be honest about this.;;;;
84;You don’t need to worry about that.;;;;
85;He’s trying to stay calm under pressure.;;;;
86;She needs to improve her confidence.;;;;
87;They weren’t able to solve the problem.;;;;
88;We need to understand what’s going on.;;;;
89;I wasn’t sure how to react to that.;;;;
90;You should focus on improving your skills.;;;;
91;He didn’t expect to feel this way.;;;;
92;She’s trying to build something meaningful.;;;;
93;They need to work on their weaknesses.;;;;
94;We should find a better way to handle this.;;;;
95;I need to be honest with you.;;;;
96;You might want to reconsider your decision.;;;;
97;He’s trying to understand the problem.;;;;
98;She didn’t realize how important this was.;;;;
99;They’re trying to fix what went wrong.;;;;
100;We need to move forward despite this setback.;;;;